,study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score,placement_status
2714,1,46,4,6,0,63,39.06,Not Placed
2715,5,83,7,5,20,76,100.0,Placed
2716,10,47,9,2,4,44,89.67,Placed
2717,5,59,5,3,0,76,79.85,Placed
2718,4,51,9,9,20,43,85.14,Placed
2719,6,74,7,3,20,84,100.0,Placed
2720,10,56,6,7,19,65,100.0,Placed
2721,4,67,6,1,12,66,99.22,Placed
2722,7,80,4,7,8,36,84.74,Placed
2723,7,49,7,9,15,58,79.51,Placed
2724,2,61,5,11,7,71,65.35,Not Placed
2725,3,77,7,8,13,87,100.0,Placed
2726,1,96,5,7,16,77,92.25,Placed
2727,8,72,5,10,3,40,83.41,Placed
2728,9,61,7,8,6,42,100.0,Placed
2729,4,83,8,4,16,74,100.0,Placed
2730,6,76,7,2,15,59,100.0,Placed
2731,9,52,5,11,13,76,100.0,Placed
2732,6,66,9,9,15,77,100.0,Placed
2733,9,54,6,3,1,85,94.51,Placed
2734,4,61,6,11,14,59,66.23,Not Placed
2735,8,69,4,4,10,80,100.0,Placed
2736,9,82,6,7,12,45,100.0,Placed
2737,4,79,8,2,3,69,89.4,Placed
2738,5,76,5,8,0,35,61.59,Not Placed
2739,8,73,7,10,14,94,100.0,Placed
2740,10,83,7,8,11,93,100.0,Placed
2741,6,99,8,5,20,87,100.0,Placed
2742,7,73,6,9,8,57,68.06,Not Placed
2743,3,97,5,8,6,37,66.22,Not Placed
2744,7,87,6,1,2,75,88.08,Placed
2745,8,92,4,9,15,35,92.97,Placed
2746,10,74,6,5,3,88,100.0,Placed
2747,6,81,4,9,13,78,100.0,Placed
2748,10,58,7,9,12,46,98.42,Placed
2749,9,47,5,10,19,72,100.0,Placed
2750,6,78,9,10,18,95,100.0,Placed
2751,9,72,4,3,1,74,82.49,Placed
2752,4,83,6,8,9,65,93.15,Placed
2753,8,100,6,7,18,63,100.0,Placed
2754,11,67,7,7,14,69,100.0,Placed
2755,4,76,8,10,6,62,83.91,Placed
2756,2,87,9,2,14,55,87.12,Placed
2757,10,64,8,2,16,45,100.0,Placed
2758,11,75,6,2,15,60,100.0,Placed
2759,9,56,8,11,16,45,96.35,Placed
2760,5,63,9,2,15,39,96.9,Placed
2761,4,60,9,4,17,90,98.03,Placed
2762,2,41,5,7,16,41,67.53,Not Placed
2763,1,70,8,2,3,85,87.43,Placed
2764,11,83,5,5,1,65,98.36,Placed
2765,7,72,6,7,16,73,100.0,Placed
2766,6,69,6,9,16,76,92.35,Placed
2767,2,51,6,8,1,42,72.61,Placed
2768,8,83,7,9,1,87,96.46,Placed
2769,11,51,8,7,14,61,100.0,Placed
2770,4,90,4,3,15,55,89.22,Placed
2771,8,96,9,1,10,64,100.0,Placed
2772,7,88,4,10,1,48,80.74,Placed
2773,5,91,6,7,7,93,74.53,Placed
2774,10,63,8,11,20,35,87.46,Placed
2775,10,63,5,6,11,79,100.0,Placed
2776,8,97,4,2,13,58,100.0,Placed
2777,9,99,6,1,13,95,100.0,Placed
2778,5,50,4,10,11,40,58.32,Not Placed
2779,10,52,4,4,1,40,59.58,Not Placed
2780,5,66,9,4,13,87,100.0,Placed
2781,2,47,4,6,11,39,52.32,Not Placed
2782,5,49,6,11,8,69,62.28,Not Placed
2783,3,47,9,5,7,78,87.66,Placed
2784,7,59,6,9,19,49,98.57,Placed
2785,10,47,7,8,15,69,98.74,Placed
2786,5,48,7,9,9,82,68.57,Not Placed
2787,8,46,7,10,6,84,93.95,Placed
2788,1,53,4,7,14,75,60.94,Not Placed
2789,3,67,8,9,8,42,56.51,Not Placed
2790,3,41,6,3,3,77,66.91,Not Placed
2791,9,96,7,9,5,69,100.0,Placed
2792,5,82,8,2,11,39,95.33,Placed
2793,9,47,7,9,14,65,100.0,Placed
2794,9,52,7,6,18,76,100.0,Placed
2795,1,60,8,4,1,65,66.58,Not Placed
2796,2,86,7,11,18,71,88.26,Placed
2797,5,67,4,2,19,42,100.0,Placed
2798,4,74,4,10,19,40,70.22,Placed
2799,10,62,9,3,1,57,100.0,Placed
2800,9,85,4,5,14,87,100.0,Placed
2801,7,54,5,9,11,50,70.83,Placed
2802,6,41,9,7,0,78,72.54,Placed
2803,7,100,7,11,13,83,90.48,Placed
2804,1,90,5,11,3,42,58.97,Not Placed
2805,1,51,6,3,10,38,49.17,Not Placed
2806,8,96,8,4,6,66,100.0,Placed
2807,2,91,6,11,12,87,77.23,Placed
2808,10,75,5,2,13,83,100.0,Placed
2809,11,42,4,8,6,37,81.47,Placed
2810,9,44,7,6,10,84,100.0,Placed
2811,7,42,9,3,19,50,100.0,Placed
2812,6,96,7,5,19,94,100.0,Placed
2813,1,86,4,5,10,68,77.32,Placed
2814,1,58,7,1,20,47,92.49,Placed
2815,2,41,8,5,8,67,57.63,Not Placed
2816,6,83,8,6,3,56,78.89,Placed
2817,6,76,8,10,1,65,67.79,Not Placed
2818,2,93,6,10,1,58,66.6,Not Placed
2819,1,56,4,11,8,37,46.81,Not Placed
2820,10,53,8,11,18,67,100.0,Placed
2821,5,67,5,11,14,64,58.0,Not Placed
2822,5,66,8,2,20,60,100.0,Placed
2823,2,93,9,3,20,68,83.7,Placed
2824,6,49,6,10,17,85,100.0,Placed
2825,9,42,5,5,15,56,98.77,Placed
2826,2,75,4,3,1,64,53.83,Not Placed
2827,10,77,4,5,11,69,100.0,Placed
2828,2,95,9,5,0,59,71.92,Placed
2829,3,64,8,8,1,62,83.67,Placed
2830,7,61,5,10,13,67,88.68,Placed
2831,6,87,9,9,6,57,90.96,Placed
2832,8,78,5,8,16,60,97.87,Placed
2833,8,86,8,3,14,90,100.0,Placed
2834,6,69,8,1,16,43,100.0,Placed
2835,11,60,7,3,8,42,81.64,Placed
2836,10,69,7,1,12,71,100.0,Placed
2837,3,67,8,11,1,67,67.68,Not Placed
2838,3,70,6,9,14,49,67.04,Not Placed
2839,1,96,9,3,19,83,98.97,Placed
2840,7,91,7,8,10,81,86.8,Placed
2841,5,65,8,6,18,42,98.53,Placed
2842,4,82,5,3,13,89,88.51,Placed
2843,10,61,9,9,3,55,95.1,Placed
2844,4,60,7,8,10,92,79.32,Placed
2845,4,40,6,3,15,37,61.75,Not Placed
2846,6,76,9,7,1,43,75.6,Placed
2847,8,52,9,5,1,86,100.0,Placed
2848,8,60,4,2,8,48,79.12,Placed
2849,5,85,5,8,20,72,100.0,Placed
2850,6,48,6,1,20,61,100.0,Placed
2851,4,56,6,4,3,54,65.31,Not Placed
2852,11,86,6,11,7,91,100.0,Placed
2853,9,60,5,11,17,38,91.66,Placed
2854,8,70,6,4,14,58,86.99,Placed
2855,10,78,4,10,1,61,98.35,Placed
2856,10,98,7,5,10,46,100.0,Placed
2857,1,93,5,4,16,62,83.77,Placed
2858,2,61,6,1,6,69,63.71,Not Placed
2859,9,51,8,7,7,58,88.95,Placed
2860,8,94,7,10,9,65,100.0,Placed
2861,3,45,9,11,2,93,57.19,Not Placed
2862,8,92,5,2,12,37,91.61,Placed
2863,1,55,8,10,16,64,73.25,Placed
2864,10,65,9,3,12,61,100.0,Placed
2865,4,44,8,5,18,87,91.29,Placed
2866,3,48,6,8,8,51,58.44,Not Placed
2867,6,85,5,10,20,40,68.99,Not Placed
2868,7,79,6,8,15,81,100.0,Placed
2869,4,53,9,2,4,77,71.15,Placed
2870,7,83,4,9,8,52,94.73,Placed
2871,9,81,8,6,8,94,100.0,Placed
2872,11,69,4,9,5,69,100.0,Placed
2873,2,91,9,4,20,61,100.0,Placed
2874,11,91,6,3,9,51,100.0,Placed
2875,3,65,7,5,17,45,86.52,Placed
2876,5,92,8,5,10,72,100.0,Placed
2877,3,84,7,4,14,71,96.3,Placed
2878,11,68,5,7,6,76,100.0,Placed
2879,8,58,8,8,13,68,100.0,Placed
2880,10,86,4,5,7,81,100.0,Placed
2881,8,47,7,9,18,66,99.0,Placed
2882,8,62,9,7,14,77,82.96,Placed
2883,9,92,5,7,18,90,100.0,Placed
2884,4,81,8,8,17,91,95.56,Placed
2885,5,74,9,4,16,80,100.0,Placed
2886,5,70,5,10,2,80,85.76,Placed
2887,8,92,4,6,2,69,95.88,Placed
2888,7,74,9,5,6,62,91.02,Placed
2889,9,71,8,1,9,88,100.0,Placed
2890,8,97,5,9,16,56,100.0,Placed
2891,2,44,6,2,14,50,77.01,Placed
2892,10,55,8,6,7,80,100.0,Placed
2893,4,56,8,8,16,76,100.0,Placed
2894,6,71,8,3,2,88,94.51,Placed
2895,2,77,8,5,3,74,57.22,Not Placed
2896,7,97,6,7,7,46,76.35,Placed
2897,3,71,9,4,12,39,80.27,Placed
2898,3,91,9,5,0,60,72.61,Placed
2899,11,59,9,1,17,60,100.0,Placed
2900,2,87,4,4,10,47,81.47,Placed
2901,11,95,6,7,20,58,100.0,Placed
2902,8,41,6,10,5,78,70.5,Placed
2903,6,59,5,7,15,37,86.22,Placed
2904,1,86,7,10,20,66,90.99,Placed
2905,1,57,9,10,18,57,83.25,Placed
2906,7,40,7,4,16,83,99.15,Placed
2907,8,97,5,6,17,86,100.0,Placed
2908,5,68,6,5,10,71,72.35,Placed
2909,11,68,5,1,13,89,100.0,Placed
2910,5,58,8,8,11,72,96.25,Placed
2911,4,83,5,7,19,79,100.0,Placed
2912,6,79,5,5,6,72,89.6,Placed
2913,6,45,8,10,16,47,90.51,Placed
2914,3,83,7,10,4,49,73.55,Placed
2915,9,78,8,7,13,36,100.0,Placed
2916,11,89,4,10,12,45,100.0,Placed
2917,7,93,5,3,11,50,100.0,Placed
2918,1,85,5,8,13,52,70.41,Placed
2919,7,47,7,5,8,68,100.0,Placed
2920,5,63,6,2,3,44,80.57,Placed
2921,5,59,8,2,18,47,94.04,Placed
2922,2,93,6,4,0,66,62.32,Not Placed
2923,4,53,4,7,12,94,94.83,Placed
2924,6,44,8,10,5,42,66.36,Not Placed
2925,10,80,4,4,0,41,77.67,Placed
2926,11,79,4,9,16,82,100.0,Placed
2927,7,73,4,2,2,51,85.38,Placed
2928,11,99,9,6,16,75,100.0,Placed
2929,5,55,8,4,1,61,88.06,Placed
2930,9,84,8,6,6,93,100.0,Placed
2931,3,46,9,10,0,42,43.59,Not Placed
2932,1,55,7,9,20,63,69.6,Not Placed
2933,4,46,9,10,14,91,81.01,Placed
2934,9,66,5,9,3,86,85.94,Placed
2935,4,53,6,9,5,71,63.91,Not Placed
2936,2,53,6,9,20,61,75.3,Placed
2937,10,83,4,3,12,71,94.05,Placed
2938,5,72,8,11,12,93,87.67,Placed
2939,3,72,8,9,19,91,100.0,Placed
2940,9,83,4,3,0,58,81.48,Placed
2941,4,59,5,10,1,79,75.21,Placed
2942,6,92,6,3,5,50,85.08,Placed
2943,2,86,9,5,10,60,90.72,Placed
2944,6,75,7,6,17,88,100.0,Placed
2945,3,46,5,9,12,65,78.15,Placed
2946,9,71,8,1,20,61,100.0,Placed
2947,11,87,4,8,11,60,100.0,Placed
2948,2,42,6,4,19,77,100.0,Placed
2949,9,78,4,10,6,49,69.43,Not Placed
2950,5,68,8,7,19,92,100.0,Placed
2951,8,63,4,6,6,83,97.82,Placed
2952,2,61,9,6,6,49,51.43,Not Placed
2953,6,45,6,7,1,57,68.88,Not Placed
2954,3,87,4,4,10,59,83.31,Placed
2955,10,63,6,6,0,78,93.99,Placed
2956,5,79,4,3,20,38,100.0,Placed
2957,8,62,4,5,12,70,100.0,Placed
2958,10,93,6,2,11,87,100.0,Placed
2959,1,77,9,3,12,50,93.52,Placed
2960,5,49,4,9,6,81,65.18,Not Placed
2961,3,55,9,6,11,74,80.17,Placed
2962,4,50,5,3,16,93,92.01,Placed
2963,2,71,7,2,7,55,68.29,Not Placed
2964,9,84,5,5,2,86,97.68,Placed
2965,3,100,7,10,6,74,81.24,Placed
2966,2,45,5,5,18,77,79.45,Placed
2967,10,63,7,1,19,87,100.0,Placed
2968,11,72,4,3,7,90,100.0,Placed
2969,9,92,6,7,13,51,98.34,Placed
2970,7,90,6,9,13,37,100.0,Placed
2971,6,51,8,5,1,41,75.27,Placed
2972,1,95,7,4,5,46,55.82,Not Placed
2973,5,66,8,3,15,35,88.5,Placed
2974,11,77,9,10,8,77,100.0,Placed
2975,11,57,9,9,20,71,100.0,Placed
2976,3,84,8,7,14,40,81.85,Placed
2977,1,78,7,7,18,80,91.67,Placed
2978,4,94,6,8,14,94,100.0,Placed
2979,2,52,7,10,11,95,78.38,Placed
2980,2,92,9,1,8,83,91.01,Placed
2981,3,79,4,11,15,57,74.84,Placed
2982,8,69,8,4,5,59,100.0,Placed
2983,8,92,8,5,19,59,100.0,Placed
2984,7,88,9,5,14,37,100.0,Placed
2985,6,80,7,1,12,38,89.28,Placed
2986,9,91,8,3,20,64,100.0,Placed
2987,4,52,6,2,9,67,100.0,Placed
2988,1,73,8,7,13,63,83.85,Placed
2989,8,75,7,5,2,38,84.24,Placed
2990,7,69,9,3,11,48,100.0,Placed
2991,7,100,6,11,0,55,88.79,Placed
2992,3,64,6,8,20,41,71.63,Placed
2993,4,41,8,1,15,55,92.58,Placed
2994,10,75,7,1,9,90,100.0,Placed
2995,9,57,8,6,8,41,68.64,Not Placed
2996,6,44,4,1,17,35,85.98,Placed
2997,5,58,9,4,0,94,78.3,Placed
2998,3,81,4,6,9,68,78.93,Placed
2999,9,57,6,1,6,57,100.0,Placed
3000,5,96,8,9,9,37,72.96,Placed
3001,5,71,4,4,11,52,80.61,Placed
3002,4,60,5,9,10,77,74.74,Placed
3003,4,49,4,9,8,46,69.71,Not Placed
3004,1,76,8,6,4,48,55.3,Not Placed
3005,7,88,8,7,3,75,98.67,Placed
3006,9,61,9,1,19,62,100.0,Placed
3007,3,52,4,5,12,76,85.6,Placed
3008,2,94,8,3,7,79,81.01,Placed
3009,3,56,8,10,15,58,75.96,Placed
3010,1,48,9,10,0,58,63.61,Not Placed
3011,6,63,9,6,16,37,92.34,Placed
3012,11,83,9,4,14,93,100.0,Placed
3013,11,53,9,9,14,92,100.0,Placed
3014,7,85,5,7,17,43,97.12,Placed
3015,11,47,6,4,5,58,100.0,Placed
3016,11,94,8,11,1,94,100.0,Placed
3017,2,76,7,6,4,36,44.41,Not Placed
3018,8,58,9,2,18,89,100.0,Placed
3019,6,67,6,3,6,74,100.0,Placed
3020,4,85,9,11,8,62,67.32,Not Placed
3021,5,80,6,7,1,41,64.36,Not Placed
3022,8,69,7,11,6,43,80.85,Placed
3023,3,46,4,4,13,79,79.11,Placed
3024,3,98,5,10,14,73,87.59,Placed
3025,11,97,8,7,11,94,100.0,Placed
3026,4,65,4,9,19,73,94.25,Placed
3027,1,79,7,5,3,67,59.54,Not Placed
3028,9,85,5,1,12,68,100.0,Placed
3029,8,93,5,5,8,55,79.03,Placed
3030,8,99,5,6,11,95,100.0,Placed
3031,10,85,7,11,9,63,100.0,Placed
3032,6,50,9,2,8,61,91.78,Placed
3033,7,53,9,8,20,51,100.0,Placed
3034,6,60,9,2,6,94,95.33,Placed
3035,9,47,4,9,11,76,74.76,Placed
3036,3,42,8,2,15,81,86.53,Placed
3037,3,67,5,3,14,82,73.16,Placed
3038,3,100,5,8,6,57,67.2,Not Placed
3039,10,68,4,11,7,87,100.0,Placed
3040,3,62,9,6,6,79,81.01,Placed
3041,9,57,5,1,10,55,100.0,Placed
3042,4,74,5,4,3,42,70.4,Placed
3043,7,52,7,5,17,43,100.0,Placed
3044,9,51,6,11,18,92,100.0,Placed
3045,11,86,4,3,6,67,96.08,Placed
3046,7,89,4,1,12,92,100.0,Placed
3047,9,44,9,3,8,38,100.0,Placed
3048,3,78,4,9,17,93,97.09,Placed
3049,4,50,9,2,6,52,62.65,Not Placed
3050,8,97,7,1,19,66,100.0,Placed
3051,6,98,7,7,15,64,91.52,Placed
3052,5,50,8,7,4,59,76.81,Placed
3053,4,98,9,5,6,91,100.0,Placed
3054,8,86,7,2,5,67,100.0,Placed
3055,1,81,9,1,1,69,71.56,Placed
3056,9,86,4,5,6,76,100.0,Placed
3057,1,70,8,10,20,90,79.69,Placed
3058,8,70,6,4,8,68,100.0,Placed
3059,4,52,5,9,12,84,77.96,Placed
3060,9,53,5,5,16,36,98.04,Placed
3061,11,88,8,11,16,47,100.0,Placed
3062,5,84,9,10,14,87,98.06,Placed
3063,3,81,9,2,17,75,100.0,Placed
3064,9,64,9,4,14,57,100.0,Placed
3065,11,72,6,9,10,95,100.0,Placed
3066,9,72,5,8,11,57,99.3,Placed
3067,4,54,8,3,16,65,87.87,Placed
3068,11,55,9,8,11,36,80.16,Placed
3069,4,83,7,2,6,36,76.65,Placed
3070,8,97,4,3,6,39,100.0,Placed
3071,2,95,6,5,20,94,96.73,Placed
3072,9,77,9,11,9,48,100.0,Placed
3073,6,45,5,10,15,57,57.09,Not Placed
3074,9,83,4,10,10,89,100.0,Placed
3075,8,64,8,8,15,91,100.0,Placed
3076,7,54,9,1,1,69,94.43,Placed
3077,1,43,5,4,1,80,50.08,Not Placed
3078,3,95,4,1,17,35,80.92,Placed
3079,11,43,7,1,4,75,94.37,Placed
3080,2,69,6,5,13,82,65.51,Not Placed
3081,5,73,8,6,7,83,91.46,Placed
3082,5,66,5,1,5,74,78.59,Placed
3083,5,70,7,11,8,49,69.23,Not Placed
3084,4,95,6,6,5,64,78.98,Placed
3085,5,71,6,5,20,55,90.9,Placed
3086,3,83,7,4,16,42,88.09,Placed
3087,1,78,5,10,7,41,50.12,Not Placed
3088,5,91,6,5,2,75,94.56,Placed
3089,9,48,8,8,11,68,100.0,Placed
3090,9,80,4,9,12,91,100.0,Placed
3091,4,47,8,11,17,76,99.87,Placed
3092,3,53,9,2,10,71,88.15,Placed
3093,1,72,6,6,1,82,69.35,Not Placed
3094,2,62,4,3,13,87,82.04,Placed
3095,8,60,7,2,0,66,86.97,Placed
3096,1,94,4,1,14,67,78.85,Placed
3097,8,51,4,4,17,40,100.0,Placed
3098,7,96,4,8,17,76,100.0,Placed
3099,8,41,6,3,16,44,96.85,Placed
3100,6,52,9,5,0,60,65.35,Not Placed
3101,9,98,9,10,13,92,100.0,Placed
3102,3,43,5,5,19,85,100.0,Placed
3103,10,59,9,5,15,79,100.0,Placed
3104,4,89,6,11,3,60,70.77,Placed
3105,6,90,5,9,5,53,91.15,Placed
3106,8,87,7,8,15,69,100.0,Placed
3107,5,98,7,8,19,79,100.0,Placed
3108,3,53,7,1,5,38,42.49,Not Placed
3109,6,69,7,1,14,59,93.49,Placed
3110,4,68,7,2,0,95,89.13,Placed
3111,9,47,8,8,6,42,70.13,Placed
3112,3,51,6,10,10,46,64.94,Not Placed
3113,4,80,5,1,0,88,84.39,Placed
3114,7,77,7,4,7,58,77.94,Placed
3115,7,65,8,9,13,58,77.48,Placed
3116,4,89,9,2,4,51,88.03,Placed
3117,6,41,8,3,12,59,78.83,Placed
3118,3,94,8,11,14,67,86.23,Placed
3119,6,79,6,6,8,61,95.21,Placed
3120,2,95,7,11,7,36,61.38,Not Placed
3121,8,53,8,10,18,43,91.87,Placed
3122,2,45,8,3,16,89,78.33,Placed
3123,11,81,7,4,18,92,100.0,Placed
3124,7,79,6,9,17,67,100.0,Placed
3125,9,70,8,9,17,53,100.0,Placed
3126,1,56,5,10,3,83,47.47,Not Placed
3127,8,64,4,5,1,39,64.68,Not Placed
3128,7,100,9,7,4,81,96.21,Placed
3129,6,71,4,9,16,54,85.13,Placed
3130,6,51,4,8,6,58,81.06,Placed
3131,6,88,6,11,15,91,100.0,Placed
3132,9,52,8,7,0,65,95.28,Placed
3133,2,58,4,8,11,78,58.52,Not Placed
3134,1,83,4,5,18,38,62.74,Not Placed
3135,6,87,9,5,8,66,100.0,Placed
3136,10,64,7,5,15,81,100.0,Placed
3137,11,70,8,1,6,69,100.0,Placed
3138,8,98,8,6,14,48,100.0,Placed
3139,3,76,9,5,11,70,96.35,Placed
3140,10,64,7,8,3,85,86.77,Placed
3141,1,55,8,8,5,40,27.82,Not Placed
3142,9,96,5,2,5,51,100.0,Placed
3143,1,77,9,11,14,52,52.11,Not Placed
3144,3,82,6,6,2,42,72.16,Placed
3145,8,88,7,11,1,85,99.81,Placed
3146,3,97,9,10,4,86,83.82,Placed
3147,4,62,4,10,7,46,47.18,Not Placed
3148,8,53,8,6,18,51,94.73,Placed
3149,1,45,5,3,20,65,49.63,Not Placed
3150,6,64,5,1,15,85,100.0,Placed
3151,1,62,6,7,18,35,69.14,Not Placed
3152,1,99,9,10,15,45,78.4,Placed
3153,8,82,5,5,5,76,100.0,Placed
3154,11,51,9,10,0,50,75.82,Placed
3155,4,52,8,5,17,71,93.48,Placed
3156,1,75,8,11,7,83,66.05,Not Placed
3157,10,78,5,8,4,62,100.0,Placed
3158,7,73,8,5,11,43,90.71,Placed
3159,5,45,9,5,17,89,100.0,Placed
3160,5,77,8,1,4,93,100.0,Placed
3161,1,89,4,2,12,42,81.94,Placed
3162,10,91,9,5,20,59,100.0,Placed
3163,11,79,7,7,11,44,100.0,Placed
3164,6,47,8,3,15,74,100.0,Placed
3165,9,100,8,1,13,37,100.0,Placed
3166,9,47,9,11,10,89,100.0,Placed
3167,8,79,6,2,8,57,91.04,Placed
3168,5,72,7,3,9,57,100.0,Placed
3169,1,73,7,9,15,78,87.26,Placed
3170,9,83,7,8,18,90,100.0,Placed
3171,1,54,5,4,9,38,67.83,Not Placed
3172,8,75,4,8,20,93,100.0,Placed
3173,5,99,4,9,3,88,84.51,Placed
3174,3,96,6,3,20,84,100.0,Placed
3175,11,74,7,6,7,57,100.0,Placed
3176,7,85,7,8,10,43,88.49,Placed
3177,7,61,8,10,5,87,73.48,Placed
3178,9,62,9,7,3,38,77.69,Placed
3179,7,79,5,9,20,68,97.17,Placed
3180,11,84,5,7,4,73,85.71,Placed
3181,3,94,6,1,17,52,98.87,Placed
3182,11,90,4,9,2,68,100.0,Placed
3183,1,61,7,5,6,91,67.09,Not Placed
3184,8,44,9,6,11,68,96.9,Placed
3185,3,70,6,2,2,76,81.66,Placed
3186,8,52,5,2,16,37,90.98,Placed
3187,8,67,5,4,2,53,80.14,Placed
3188,5,97,5,4,10,68,94.05,Placed
3189,1,59,7,5,5,60,67.22,Not Placed
3190,10,72,7,7,10,69,100.0,Placed
3191,7,55,7,11,3,75,76.55,Placed
3192,10,68,8,1,16,77,100.0,Placed
3193,5,62,4,10,0,65,52.22,Not Placed
3194,8,63,5,4,11,77,100.0,Placed
3195,9,73,5,9,2,61,90.16,Placed
3196,11,46,8,8,15,37,100.0,Placed
3197,7,77,5,3,2,71,98.28,Placed
3198,7,76,5,6,13,46,91.61,Placed
3199,1,100,7,11,16,81,94.45,Placed
3200,4,43,7,9,18,57,76.2,Placed
3201,2,73,4,8,6,51,69.69,Not Placed
3202,2,81,5,7,10,50,70.52,Placed
3203,2,61,6,7,15,51,76.67,Placed
3204,4,44,5,1,18,49,85.27,Placed
3205,1,89,5,5,4,60,65.54,Not Placed
3206,4,81,4,7,0,79,74.11,Placed
3207,2,62,6,2,9,36,43.56,Not Placed
3208,5,93,5,6,17,51,100.0,Placed
3209,3,99,9,2,9,35,77.68,Placed
3210,8,54,9,3,0,64,85.89,Placed
3211,4,70,6,1,12,66,85.64,Placed
3212,1,98,9,3,3,64,86.21,Placed
3213,1,48,7,7,11,76,62.98,Not Placed
3214,10,82,7,5,15,38,100.0,Placed
3215,3,97,6,4,18,76,99.21,Placed
3216,9,92,5,8,11,78,100.0,Placed
3217,7,64,6,8,5,66,76.2,Placed
3218,2,64,9,1,15,94,91.67,Placed
3219,9,100,6,9,11,69,100.0,Placed
3220,10,88,9,9,9,35,100.0,Placed
3221,2,60,7,2,4,53,55.69,Not Placed
3222,3,48,6,2,18,67,91.06,Placed
3223,11,94,8,8,11,53,100.0,Placed
3224,10,87,9,11,7,70,100.0,Placed
3225,2,77,8,6,3,61,56.89,Not Placed
3226,3,61,7,3,6,47,50.91,Not Placed
3227,6,82,5,2,4,61,94.69,Placed
3228,9,62,9,5,10,80,100.0,Placed
3229,9,88,5,8,16,48,100.0,Placed
3230,7,43,7,6,20,58,100.0,Placed
3231,3,68,5,3,2,69,72.5,Placed
3232,4,54,9,9,1,53,59.92,Not Placed
3233,6,40,4,8,18,95,97.04,Placed
3234,11,93,9,10,1,59,95.72,Placed
3235,5,69,9,6,13,45,80.54,Placed
3236,2,68,8,1,0,43,41.68,Not Placed
3237,6,59,4,2,15,40,92.8,Placed
3238,3,72,4,4,14,92,100.0,Placed
3239,8,80,4,2,17,70,100.0,Placed
3240,2,83,9,3,1,92,98.16,Placed
3241,1,75,7,8,10,71,96.64,Placed
3242,9,99,4,9,20,63,100.0,Placed
3243,3,61,6,6,16,43,81.97,Placed
3244,11,52,5,4,12,67,100.0,Placed
3245,1,46,7,11,11,57,74.0,Placed
3246,7,47,6,2,1,49,67.6,Not Placed
3247,10,67,9,7,20,45,100.0,Placed
3248,5,84,9,10,17,57,100.0,Placed
3249,5,82,6,11,9,60,92.43,Placed
3250,1,48,8,7,11,35,49.26,Not Placed
3251,9,64,8,10,16,64,100.0,Placed
3252,7,95,6,9,13,51,100.0,Placed
3253,8,55,8,5,18,81,100.0,Placed
3254,9,49,5,10,12,80,100.0,Placed
3255,6,50,5,4,2,75,58.21,Not Placed
3256,5,70,9,10,7,57,92.16,Placed
3257,6,51,8,6,4,70,95.06,Placed
3258,11,99,4,2,11,75,100.0,Placed
3259,2,70,6,2,0,94,84.71,Placed
3260,4,53,5,9,20,39,81.62,Placed
3261,3,90,8,7,15,69,87.79,Placed
3262,7,83,8,7,11,84,100.0,Placed
3263,9,71,5,5,16,43,100.0,Placed
3264,5,89,5,7,8,38,61.92,Not Placed
3265,6,92,4,9,12,41,92.18,Placed
3266,10,56,8,10,3,35,100.0,Placed
3267,2,74,8,5,3,50,41.67,Not Placed
3268,3,40,7,9,14,91,87.66,Placed
3269,3,68,9,1,9,94,100.0,Placed
3270,9,90,4,3,5,59,86.96,Placed
3271,7,100,5,7,2,92,100.0,Placed
3272,8,43,5,4,14,40,76.18,Placed
3273,11,62,6,2,5,72,100.0,Placed
3274,10,67,9,3,10,48,100.0,Placed
3275,11,55,5,7,1,88,88.54,Placed
3276,9,51,8,8,1,71,91.31,Placed
3277,6,92,5,11,0,45,59.28,Not Placed
3278,4,60,8,9,10,35,81.0,Placed
3279,1,84,8,6,4,86,78.62,Placed
3280,8,56,4,10,5,76,91.3,Placed
3281,7,79,5,9,2,35,75.88,Placed
3282,2,52,4,4,19,87,100.0,Placed
3283,8,91,9,5,4,95,100.0,Placed
3284,5,97,8,1,19,70,100.0,Placed
3285,7,71,9,9,8,42,76.42,Placed
3286,4,76,5,9,18,66,92.8,Placed
3287,5,89,9,9,4,67,78.71,Placed
3288,8,54,9,3,11,42,100.0,Placed
3289,1,51,5,10,11,48,43.84,Not Placed
3290,1,100,4,10,15,58,71.34,Placed
3291,4,88,4,10,6,83,86.05,Placed
3292,3,96,8,8,13,75,100.0,Placed
3293,10,54,8,3,8,63,94.35,Placed
3294,2,73,5,6,14,59,71.3,Placed
3295,3,45,5,5,10,40,57.42,Not Placed
3296,11,56,7,8,3,35,82.02,Placed
3297,11,87,7,3,10,89,100.0,Placed
3298,11,88,6,1,8,57,100.0,Placed
3299,1,96,8,9,5,75,74.09,Placed
3300,1,59,9,10,16,67,79.44,Placed
3301,6,48,6,9,8,48,62.95,Not Placed
3302,5,98,6,3,5,90,100.0,Placed
3303,8,44,4,2,5,62,87.22,Placed
3304,2,62,9,4,3,63,66.65,Not Placed
3305,4,72,4,8,19,77,100.0,Placed
3306,8,77,7,6,10,74,100.0,Placed
3307,6,95,6,10,2,57,80.5,Placed
3308,1,53,7,1,17,78,89.45,Placed
3309,4,56,9,8,15,72,100.0,Placed
3310,1,96,9,5,20,83,100.0,Placed
3311,2,58,8,6,15,77,97.49,Placed
